Time|s,DOAScon.supFanStart,testBed.returnairtemp,testBed.outdoorairtemp
1.688859e+07,1,294.87637,312.43167
1.688859e+07,1,294.87637,312.43167
1.688862e+07,1,294.88,312.44006
1.688862e+07,1,294.88,312.44006
1.688865e+07,1,294.8773,312.44836
1.688865e+07,1,294.8773,312.44836
1.688868e+07,1,294.8774,312.4565
1.688868e+07,1,294.8774,312.4565
1.688871e+07,1,294.87662,312.46454
1.688871e+07,1,294.87662,312.46454
1.688874e+07,1,294.8848,312.47247
1.688874e+07,1,294.8848,312.47247
1.688877e+07,1,294.89114,312.4803
1.688877e+07,1,294.89114,312.4803
1.68888e+07,1,294.89905,312.48798
1.68888e+07,1,294.89905,312.48798
1.688881e+07,1,294.89377,312.49026
1.688881e+07,1,294.89377,312.49026
1.688883e+07,1,294.87604,312.49554
1.688883e+07,1,294.87604,312.49554
1.688886e+07,1,294.88336,312.50305
1.688886e+07,1,294.88336,312.50305
1.688889e+07,1,294.87274,312.51044
1.688889e+07,1,294.87274,312.51044
16888906,1,294.88235,312.51447
16888906,1,294.88235,312.51447
1.688892e+07,1,294.87552,312.51773
1.688892e+07,1,294.87552,312.51773
1.688895e+07,1,294.87677,312.52493
1.688895e+07,1,294.87677,312.52493
1.688898e+07,1,294.87543,312.53207
1.688898e+07,1,294.87543,312.53207
16889002,1,294.87442,312.53717
16889002,1,294.87442,312.53717
1.688901e+07,1,294.88672,312.53912
1.688901e+07,1,294.88672,312.53912
1.688904e+07,1,294.8838,312.5461
1.688904e+07,1,294.8838,312.5461
1.688907e+07,1,294.88922,312.553
1.688907e+07,1,294.88922,312.553
1.68891e+07,1,294.8816,312.55984
1.68891e+07,1,294.8816,312.55984
1.688913e+07,1,294.8882,312.56665
1.688913e+07,1,294.8882,312.56665
1.688916e+07,1,294.887,312.57336
1.688916e+07,1,294.887,312.57336
1.688919e+07,1,294.9044,312.58005
1.688919e+07,1,294.9044,312.58005
1.688922e+07,1,294.89636,312.5867
1.688922e+07,1,294.89636,312.5867
1.688925e+07,1,294.90308,312.5933
1.688925e+07,1,294.90308,312.5933
16889254,1,294.90652,312.59418
16889254,1,294.90652,312.59418
16889272,1,294.8883,312.5983
16889272,1,294.8883,312.5983
1.688928e+07,1,294.88803,312.59982
1.688928e+07,1,294.88803,312.59982
1.688931e+07,1,294.88904,312.60635
1.688931e+07,1,294.88904,312.60635
1.688934e+07,1,294.8911,312.61285
1.688934e+07,1,294.8911,312.61285
16889356,1,294.8926,312.6162
16889356,1,294.8926,312.6162
1.688937e+07,1,294.90256,312.61932
1.688937e+07,1,294.90256,312.61932
1.68894e+07,1,294.90823,312.6258
1.68894e+07,1,294.90823,312.6258
1.688943e+07,1,294.9113,312.63223
1.688943e+07,1,294.9113,312.63223
1.688946e+07,1,294.9033,312.63864
1.688946e+07,1,294.9033,312.63864
1.688949e+07,1,294.90872,312.64508
1.688949e+07,1,294.90872,312.64508
1.688952e+07,1,294.901,312.6515
1.688952e+07,1,294.901,312.6515
16889524,1,294.90118,312.6524
16889524,1,294.90118,312.6524
1.688955e+07,1,294.9059,312.65793
1.688955e+07,1,294.9059,312.65793
1.688958e+07,1,294.90616,312.66437
1.688958e+07,1,294.90616,312.66437
16889594,1,294.9122,312.66724
16889594,1,294.9122,312.66724
1.688961e+07,1,294.90802,312.6708
1.688961e+07,1,294.90802,312.6708
1.688964e+07,1,294.91058,312.67728
1.688964e+07,1,294.91058,312.67728
16889648,1,294.9101,312.67886
16889648,1,294.9101,312.67886
16889668,1,294.91293,312.68335
16889668,1,294.91293,312.68335
1.688967e+07,1,294.91266,312.68375
1.688967e+07,1,294.91266,312.68375
1.68897e+07,1,294.91452,312.69028
1.68897e+07,1,294.91452,312.69028
1.688973e+07,1,294.91586,312.6968
1.688973e+07,1,294.91586,312.6968
1.688976e+07,1,294.91812,312.7034
1.688976e+07,1,294.91812,312.7034
1.688979e+07,1,294.9429,312.71002
1.688979e+07,1,294.9429,312.71002
1.688982e+07,1,294.9324,312.71667
1.688982e+07,1,294.9324,312.71667
1.688985e+07,1,294.93765,312.7234
1.688985e+07,1,294.93765,312.7234
1.688988e+07,1,294.94464,312.73016
1.688988e+07,1,294.94464,312.73016
1.688991e+07,1,294.92847,312.737
1.688991e+07,1,294.92847,312.737
1.688994e+07,1,294.94,312.7439
1.688994e+07,1,294.94,312.7439
1.688997e+07,1,294.93958,312.75085
1.688997e+07,1,294.93958,312.75085
1.689e+07,1,294.93344,312.75787
1.689e+07,1,294.93344,312.75787
1.689003e+07,1,294.92972,312.76498
1.689003e+07,1,294.92972,312.76498
1.689006e+07,1,294.9326,312.77216
1.689006e+07,1,294.9326,312.77216
16890088,1,294.93243,312.77875
16890088,1,294.93243,312.77875
1.689009e+07,1,294.94098,312.77942
1.689009e+07,1,294.94098,312.77942
1.689012e+07,1,294.93765,312.7868
1.689012e+07,1,294.93765,312.7868
1.689015e+07,1,294.94214,312.79425
1.689015e+07,1,294.94214,312.79425
16890178,1,294.94156,312.80142
16890178,1,294.94156,312.80142
1.689018e+07,1,294.94574,312.80182
1.689018e+07,1,294.94574,312.80182
16890206,1,294.93234,312.80832
16890206,1,294.93234,312.80832
1.689021e+07,1,294.94675,312.80945
1.689021e+07,1,294.94675,312.80945
1.689024e+07,1,294.9327,312.81723
1.689024e+07,1,294.9327,312.81723
1.689027e+07,1,294.94485,312.8251
1.689027e+07,1,294.94485,312.8251
1.68903e+07,1,294.94162,312.8331
1.68903e+07,1,294.94162,312.8331
1.689033e+07,1,294.94073,312.84122
1.689033e+07,1,294.94073,312.84122
1.689036e+07,1,294.94583,312.84946
1.689036e+07,1,294.94583,312.84946
1.689039e+07,1,294.9318,312.85785
1.689039e+07,1,294.9318,312.85785
1.689042e+07,1,294.93494,312.86636
1.689042e+07,1,294.93494,312.86636
1.689045e+07,1,294.9446,312.875
1.689045e+07,1,294.9446,312.875
1.689048e+07,1,294.93024,312.8838
1.689048e+07,1,294.93024,312.8838
16890506,1,294.9271,312.89127
16890506,1,294.9271,312.89127
16890506,1,294.9271,312.89127
16890506,1,294.9271,312.89127
1.689051e+07,1,294.92923,312.89273
1.689051e+07,1,294.92923,312.89273
1.689054e+07,1,294.92725,312.90186
1.689054e+07,1,294.92725,312.90186
1.689057e+07,1,294.93063,312.9111
1.689057e+07,1,294.93063,312.9111
16890572,1,294.92978,312.91193
16890572,1,294.92978,312.91196
16890572,1,294.92984,312.91196
16890572,1,294.92987,312.912
16890572,1,294.9299,312.91202
